"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 13 00:49:25 GMT 2025","Mon Oct 13 00:49:27 GMT 2025","1983","webkit","src/features/login.feature.spec.js","User Authentication and Login","","","Failed login with locked out user",""
"passed","Mon Oct 13 00:49:30 GMT 2025","Mon Oct 13 00:49:33 GMT 2025","2272","webkit","src/features/login.feature.spec.js","User Authentication and Login > Login with various user types","","","Example #1",""
"passed","Mon Oct 13 00:47:21 GMT 2025","Mon Oct 13 00:47:23 GMT 2025","1944","firefox","src/features/login.feature.spec.js","User Authentication and Login > Login with various user types","","","Example #3",""
"passed","Mon Oct 13 00:47:25 GMT 2025","Mon Oct 13 00:47:28 GMT 2025","3558","firefox","src/features/purchase-flow.feature.spec.js","E2E Product Purchase Flow","","","Purchase after sorting products by price (low to high)",""
"passed","Mon Oct 13 00:48:00 GMT 2025","Mon Oct 13 00:48:03 GMT 2025","2694","chromium","src/features/cart-management.feature.spec.js","Shopping Cart Management","","","Add all available products to cart",""
"passed","Mon Oct 13 00:47:30 GMT 2025","Mon Oct 13 00:47:34 GMT 2025","4479","firefox","src/features/purchase-flow.feature.spec.js","E2E Product Purchase Flow","","","Purchase with visual user to test UI consistency",""
"passed","Mon Oct 13 00:48:03 GMT 2025","Mon Oct 13 00:48:05 GMT 2025","1940","chromium","src/features/cart-management.feature.spec.js","Shopping Cart Management > Cart operations with different products","","","Example #1",""
"passed","Mon Oct 13 00:49:40 GMT 2025","Mon Oct 13 00:49:45 GMT 2025","5508","webkit","src/features/purchase-flow.feature.spec.js","E2E Product Purchase Flow","","","Attempt purchase with all products in cart",""
"passed","Mon Oct 13 00:48:10 GMT 2025","Mon Oct 13 00:48:12 GMT 2025","1521","chromium","src/features/login.feature.spec.js","User Authentication and Login","","","Failed login with invalid credentials",""
"passed","Mon Oct 13 00:48:16 GMT 2025","Mon Oct 13 00:48:17 GMT 2025","1593","chromium","src/features/login.feature.spec.js","User Authentication and Login > Login with various user types","","","Example #5",""
"passed","Mon Oct 13 00:47:17 GMT 2025","Mon Oct 13 00:47:19 GMT 2025","1769","firefox","src/features/login.feature.spec.js","User Authentication and Login","","","Failed login with empty username",""
